ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
955632,35803672,1,1
955632,35803673,1,1
955632,35804807,1,1
955632,35804792,1,1
955632,35804773,1,1
955632,42542346,1,1
955632,35805360,1,1
955632,35806579,1,1
955632,35804782,1,1
955632,35805353,1,1
955632,35806593,1,1
955632,42542361,1,1
955632,35102019,1,1
955632,35804803,1,1
955632,35804216,1,1
955632,35804346,1,1
955632,35806589,1,1
955632,35804340,1,1
955632,35805679,1,1
955632,35805333,1,1
955632,35804327,1,1
955632,35805370,1,1
955632,35806496,1,1
955632,35102007,1,1
955632,35804756,1,1
955632,35102006,1,1
955632,35102004,1,1
955632,35804351,1,1
955632,35805361,1,1
955632,35804534,1,1
955632,35102010,1,1
955632,35804787,1,1
955632,35102005,1,1
955632,35805683,1,1
955632,35805769,1,1
955632,35101642,1,1
955632,35804329,1,1
955632,35805341,1,1
955632,42542348,1,1
955632,35804352,1,1
955632,35804757,1,1
955632,35804804,1,1
956266,956266,0,0
956630,956630,0,0
956653,956653,0,0
956691,956691,0,0
956874,35804539,1,1
956874,35806469,1,1
956874,35804819,1,1
956874,956874,0,0
956874,35804320,1,1
956874,35805453,1,1
956874,35804260,1,1
957393,957393,0,0
957623,957623,0,0
957797,957797,0,0
958134,958134,0,0
958368,958368,0,0
958396,958396,0,0
958527,958527,0,0
958994,958994,0,0
958999,958999,0,0
959174,959174,0,0
959196,959196,0,0
959362,959362,0,0
959420,959420,0,0
959665,959665,0,0
960820,960820,0,0
960900,960900,0,0
960988,960988,0,0
961047,35806314,1,1
961047,35804162,1,1
961047,35101978,1,1
961047,35804166,1,1
961047,35805756,1,1
961047,35805342,1,1
961047,35803432,1,1
961047,35806313,1,1
961047,35805248,1,1
961047,35805350,1,1
961047,961047,0,0
961047,35806283,1,1
961047,35804158,1,1
961047,35806315,1,1
961047,35803572,1,1
961047,35806625,1,1
961047,35803571,1,1
961047,35806131,1,1
961047,35804527,1,1
961047,35806065,1,1
961047,35806115,1,1
961047,35805364,1,1
961047,35803577,1,1
961145,961145,0,0
961304,961304,0,0
962398,962398,0,0
963742,963742,0,0
963747,963747,0,0
963750,963750,0,0
963757,963757,0,0
963758,963758,0,0
963759,963759,0,0
963761,963761,0,0
963765,963765,0,0
963771,963771,0,0
963779,963779,0,0
963780,963780,0,0
963789,963789,0,0
963790,963790,0,0
963791,963791,0,0
963809,963809,0,0
963810,963810,0,0
963814,963814,0,0
963815,963815,0,0
963816,963816,0,0
963817,963817,0,0
963818,963818,0,0
963836,963836,0,0
963838,963838,0,0
963839,963839,0,0
963849,963849,0,0
963850,963850,0,0
963851,963851,0,0
963852,963852,0,0
963853,963853,0,0
963854,963854,0,0
963858,963858,0,0
963859,963859,0,0
963889,963889,0,0
963916,963916,0,0
963917,963917,0,0
963918,963918,0,0
963919,963919,0,0
963920,963920,0,0
963939,963939,0,0
963940,963940,0,0
963941,963941,0,0
963942,963942,0,0
963950,963950,0,0
963969,963969,0,0
963970,963970,0,0
963971,963971,0,0
963973,963973,0,0
963981,963981,0,0
963982,963982,0,0
963986,963986,0,0
963987,963987,0,0
963987,35806850,1,1
963987,35806835,1,1
963988,963988,0,0
964008,964008,0,0
964010,964010,0,0
964022,964022,0,0
964023,964023,0,0
964024,964024,0,0
964034,964034,0,0
964035,964035,0,0
964036,964036,0,0
964038,964038,0,0
964039,964039,0,0
964040,964040,0,0
964041,964041,0,0
964042,964042,0,0
964043,964043,0,0
964055,964055,0,0
964056,964056,0,0
964057,964057,0,0
964085,964085,0,0
964096,964096,0,0
964097,964097,0,0
964108,964108,0,0
964109,964109,0,0
964110,964110,0,0
964123,964123,0,0
964124,964124,0,0
964125,964125,0,0
964126,964126,0,0
964127,964127,0,0
964128,964128,0,0
964129,964129,0,0
964135,964135,0,0
964136,964136,0,0
964137,964137,0,0
964140,964140,0,0
964141,964141,0,0
964142,964142,0,0
964143,964143,0,0
964144,964144,0,0
964145,964145,0,0
964146,964146,0,0
